theatreName,ticketsSoldEstimate,revenueEstimateCAD
Galaxy Cinemas Orangeville,3492,54241.08
Galaxy Cinemas Orillia,3815,57963.85
Galaxy Cinemas Owen Sound,3876,59241.24
Galaxy Cinemas Pergola Commons,5593,91222.07
Galaxy Cinemas Peterborough,7683,122603.17
Galaxy Cinemas Prince Albert,2569,39454.31
Galaxy Cinemas Red Deer,12996,211412.04
Galaxy Cinemas Sarnia,5835,97437.65
Galaxy Cinemas Sault Ste Marie,4073,61642.27
Galaxy Cinemas St. Thomas,2981,44991.19
Galaxy Cinemas Vernon,3605,55208.95
Galaxy Cinemas Waterloo,5723,96288.77
Scotiabank Theatre Chinook,43121,781212.79
Scotiabank Theatre Edmonton,31249,579264.51
Scotiabank Theatre Halifax,28936,497111.64
Scotiabank Theatre Ottawa,27096,470080.04
Scotiabank Theatre Saskatoon and VIP,9743,173062.57
Scotiabank Theatre St. John's,27015,438784.85
Scotiabank Theatre Toronto,29882,531003.18
Scotiabank Theatre Vancouver,30674,560830.26
Scotiabank Theatre Winnipeg,20822,353711.78
SilverCity Brampton Cinemas,39400,645410.00
SilverCity Burlington Cinemas,10880,164585.20
SilverCity CrossIron Mills Cinemas and XSCAPE Entertainment Centre,8978,146610.22
SilverCity London Cinemas,25402,433734.98
SilverCity Mission Cinemas,5748,86522.52
SilverCity Newmarket Cinemas and XSCAPE Entertainment Centre,9762,158231.38
SilverCity Richmond Hill Cinemas,21798,359938.02
SilverCity Riverport Cinemas,37607,674320.93
SilverCity St. Vital Cinemas,19520,329953.80
SilverCity Sudbury Cinemas,9090,148170.10
SilverCity Thunder Bay Cinemas,8144,134990.56
SilverCity Victoria Cinemas,15433,263289.67
